N,Torch-Ops,Torch-Softmax,Triton
128.000000,141.241376,409.600010,409.600010
256.000000,146.285712,512.000001,512.000001
384.000000,148.048195,558.545450,558.545450
512.000000,148.945453,585.142849,564.965503
640.000000,149.489056,602.352931,602.352931
768.000000,152.645959,614.400016,614.400016
896.000000,154.150534,636.934386,636.271828
1024.000000,155.298574,630.153853,630.153853
1152.000000,156.203385,624.813540,625.144658
1280.000000,156.934861,640.000002,640.000002
1408.000000,158.091235,634.591530,634.591530
1536.000000,159.584422,638.337688,638.337688
1664.000000,159.903902,641.542176,641.542176
1792.000000,161.078650,644.314599,644.314599
1920.000000,160.837697,639.999977,646.736821
2048.000000,162.620342,648.871301,648.871301
2176.000000,162.312352,476.931488,480.220696
2304.000000,163.103768,498.162140,498.162140
2432.000000,163.153042,518.826642,518.232867
2560.000000,163.839992,531.948073,531.948073
2688.000000,163.840006,540.981122,540.981122
2816.000000,164.738582,577.641046,570.329131
2944.000000,164.699304,581.530876,585.142844
3072.000000,164.113517,599.414644,606.814827
3200.000000,165.428110,588.505745,591.907538
3328.000000,165.861439,605.090904,598.292128
3456.000000,166.303760,604.327881,607.231283
3584.000000,166.455731,623.304334,623.304334
3712.000000,166.375066,628.486777,628.486777
3840.000000,166.306883,636.683938,637.096569
3968.000000,167.293804,647.836756,647.836756
4096.000000,166.546379,652.099494,652.099494
4224.000000,166.874075,640.606617,639.044991
4352.000000,166.983212,647.739557,650.766356
4480.000000,167.868856,657.614676,657.614676
4608.000000,167.945332,661.237682,661.237682
4736.000000,167.831671,667.629965,667.629965
4864.000000,168.086392,670.896535,670.896535
4992.000000,168.151576,674.025316,674.025316
5120.000000,168.386431,671.475423,669.246908
5248.000000,168.610439,669.067755,671.743968
5376.000000,168.082072,672.000002,674.635316
5504.000000,168.543534,672.244309,669.688227
5632.000000,168.749066,667.496322,667.496322
5760.000000,168.791201,665.415129,665.415129
5888.000000,169.134652,665.780916,663.436599
6016.000000,168.870183,666.131514,666.131514
6144.000000,167.041632,664.216187,664.216187
6272.000000,169.370472,664.651573,666.790714
6400.000000,169.396194,664.935091,664.935091
6528.000000,169.350105,663.161879,665.273876
6656.000000,168.639753,663.526481,663.526481
6784.000000,169.467607,661.853669,661.853669
6912.000000,169.880182,662.227523,662.227523
7040.000000,169.782390,662.588238,625.777768
7168.000000,158.957722,662.936443,662.936443
7296.000000,170.045159,663.272722,663.272722
7424.000000,170.177646,663.597783,663.597783
7552.000000,170.185917,663.912075,663.798125
7680.000000,170.429954,664.216226,664.216226
7808.000000,170.317656,664.510619,664.510619
7936.000000,170.437578,663.060042,664.795814
8064.000000,169.322839,663.362479,663.362479
8192.000000,171.112269,663.655679,663.655679
8320.000000,170.557334,662.288549,662.288549
8448.000000,170.666672,662.588247,664.216193
8576.000000,170.560594,664.484259,664.484259
8704.000000,170.666670,663.161910,663.161910
8832.000000,170.666663,663.436599,664.997638
8960.000000,170.870086,665.243630,665.243630
9088.000000,170.967663,665.482823,664.058246
9216.000000,171.075049,664.216209,664.216209
9344.000000,171.057204,668.734695,667.428562
9472.000000,171.148505,668.250930,667.629965
9600.000000,171.332958,666.377457,666.377457
9728.000000,171.418505,668.017171,668.017171
9856.000000,171.408692,668.203370,669.622071
9984.000000,171.491145,668.384935,623.391252
10112.000000,160.507938,629.540839,664.443515
10240.000000,171.650080,668.734686,668.734686
10368.000000,171.283431,669.578218,670.254565
10496.000000,171.363263,669.067755,669.067755
10624.000000,171.268516,669.104877,669.187213
10752.000000,171.346620,669.385196,669.385196
10880.000000,171.422936,669.538460,669.498216
11008.000000,171.581098,669.688227,668.417462
11136.000000,171.487970,668.577881,668.577881
11264.000000,171.560215,669.977668,669.977668
11392.000000,171.630876,668.888052,668.888052
11520.000000,171.780053,669.038107,669.038107
11648.000000,171.846935,669.184929,669.184929
11776.000000,171.840143,669.923584,669.328621
11904.000000,171.898908,669.469215,668.918155
12032.000000,171.885710,669.606942,668.444421
12160.000000,171.872791,669.741824,668.591056
12288.000000,159.714061,621.194324,621.194324
12416.000000,160.659929,545.758232,546.508936
12544.000000,171.762081,546.877383,546.877383
12672.000000,171.678235,534.260858,536.380957
12800.000000,171.740042,537.532821,541.083222
12928.000000,171.800669,532.427299,535.290588
13056.000000,171.862354,535.630768,537.698856
13184.000000,171.918496,532.686884,534.035429
13312.000000,172.005073,533.814521,535.828931
13440.000000,171.963218,525.208379,527.705536
13568.000000,172.019025,528.194665,529.482917
13696.000000,172.006274,525.505992,526.769237
13824.000000,172.060676,527.256266,528.516111
13952.000000,172.114112,527.112168,527.764468
14080.000000,172.100846,528.826275,529.447697
14208.000000,160.968662,504.053215,503.495012
14336.000000,172.204202,529.431032,531.578219
14464.000000,171.998513,524.176687,525.963632
14592.000000,172.109558,525.246334,527.024834
14720.000000,171.912414,523.377787,525.714279
14848.000000,172.026063,526.174968,527.342957
14976.000000,172.076121,524.898123,526.628570
15104.000000,172.092803,526.501086,527.650661
15232.000000,172.082618,525.807974,527.051692
15360.000000,172.161116,528.516140,529.655159
15488.000000,172.118768,523.906985,525.573689
15616.000000,172.255086,527.122362,527.678990
15744.000000,172.242056,523.657916,524.253911
15872.000000,161.188194,503.373637,503.873020
16000.000000,172.332546,524.590174,525.667338
16128.000000,172.261682,526.628565,527.705523
16256.000000,172.306065,526.510145,527.043594
16384.000000,172.463152,552.445445,551.301774
16512.000000,172.168128,545.287934,546.981354
16640.000000,172.267873,544.762691,545.573781
16768.000000,172.145012,541.995975,542.544004
16896.000000,172.243394,542.843364,542.843364
17024.000000,172.231420,540.444449,540.444449
17152.000000,172.327784,514.881817,514.881817
17280.000000,161.401050,540.000001,541.056761
17408.000000,172.409784,539.260433,540.306472
17536.000000,172.343974,534.939966,535.450409
17664.000000,172.384261,536.288429,536.288429
17792.000000,172.423986,533.593264,534.344457
17920.000000,172.411308,531.948080,532.441943
18048.000000,172.450289,531.755216,531.801103
18176.000000,172.488727,531.170798,530.928363
18304.000000,172.425080,529.591301,506.685141
18432.000000,161.684207,500.274803,501.124895
18560.000000,172.350555,524.664309,525.128206
18688.000000,172.388579,523.005568,522.505773
18816.000000,172.228829,515.065845,516.391067
18944.000000,172.414107,514.607807,513.762803
19072.000000,172.402262,506.897022,508.586643
19200.000000,172.438961,503.606567,504.019701
19328.000000,172.379037,500.401302,501.212331
19456.000000,172.367662,481.137574,480.766036
19584.000000,161.559166,489.982814,491.134776
19712.000000,172.486742,485.591995,487.280045
19840.000000,172.521735,477.353384,478.072295
19968.000000,172.556305,476.847776,476.847776
20096.000000,172.583211,472.147305,473.892420
20224.000000,172.532128,468.962308,470.667639
20352.000000,172.561694,467.190811,466.521478
20480.000000,172.644888,471.821460,405.293761
20608.000000,161.670994,413.581678,412.168063
20736.000000,172.485575,474.643759,469.438983
20864.000000,172.340736,470.174653,448.989903
20992.000000,172.463154,437.333318,436.906665
21120.000000,172.474165,458.984265,429.923670
21248.000000,172.528801,426.158560,421.796513
21376.000000,172.517522,419.909160,417.729463
21504.000000,172.484773,376.849935,379.552134
21632.000000,161.829693,377.645393,406.234729
21760.000000,172.612792,401.800337,405.308488
21888.000000,172.579352,399.324979,398.303099
22016.000000,172.632193,393.802124,394.242868
22144.000000,172.578663,390.095243,390.417638
22272.000000,172.734843,387.128724,385.766716
22400.000000,172.598114,383.315501,382.293342
22528.000000,161.999105,355.296190,356.349969
22656.000000,172.576050,375.643518,376.228333
22784.000000,172.442760,374.170104,372.935041
22912.000000,172.473300,372.552830,371.608739
23040.000000,172.584272,370.120476,372.175678
23168.000000,172.573552,371.244854,371.989957
23296.000000,172.642898,369.045542,367.861819
23424.000000,161.928707,348.312253,346.621051
23552.000000,172.660712,365.412830,365.856295
23680.000000,172.533105,368.026107,366.690421
23808.000000,172.639027,364.873552,365.925068
23936.000000,172.706200,367.011010,367.159454
24064.000000,172.656504,365.471290,362.716893
24192.000000,172.645846,372.184614,364.474558
24320.000000,162.048936,341.632994,339.842798
24448.000000,172.739244,366.262178,363.370165
24576.000000,172.614565,356.173905,356.340328
24704.000000,172.190816,361.632186,362.129165
24832.000000,172.556790,361.521388,361.685941
24960.000000,172.509724,359.945938,360.433195
25088.000000,172.648602,359.362576,337.530383
25216.000000,161.900474,337.478873,359.106346
25344.000000,172.738653,358.377375,357.745032
25472.000000,172.654951,357.501770,357.428277
25600.000000,172.717688,357.261230,357.105492
25728.000000,172.634926,357.255791,357.023402
25856.000000,172.697143,356.480831,356.634487
25984.000000,162.051836,335.277416,334.602808
26112.000000,172.784118,355.416423,356.022165
26240.000000,172.560632,355.796604,355.645905
26368.000000,172.692593,355.573549,355.423770
26496.000000,172.716771,355.204020,355.352891
26624.000000,172.777933,353.954310,354.248661
26752.000000,162.041266,332.581191,332.194016
26880.000000,172.757583,354.558933,354.408287
27008.000000,172.506189,354.053636,354.058179
27136.000000,172.720438,353.851662,353.995916
27264.000000,172.674892,353.647356,353.716792
27392.000000,172.649998,354.016156,353.873233
27520.000000,162.016372,332.567988,331.067669
27648.000000,172.800004,353.188026,353.329077
27776.000000,172.521735,352.851119,353.131495
27904.000000,172.780193,353.075533,353.215200
28032.000000,172.703890,352.465218,352.465218
28160.000000,172.694514,352.688860,352.412996
28288.000000,162.210555,330.612138,330.370814
28416.000000,172.790882,352.309944,352.309944
28544.000000,172.732217,352.123367,351.987673
28672.000000,172.885619,353.157815,353.157815
28800.000000,172.648928,353.645426,353.713292
28928.000000,172.704483,353.994661,330.016407
