num_elements,Triton-O/P Empty-Init,Triton-O/P Zero-Init,Torch
4096.000000,12.000000,8.000000,12.000000
8192.000000,24.000000,15.999999,24.000000
16384.000000,48.000000,31.999999,48.000000
32768.000000,76.800002,54.857142,75.851853
65536.000000,128.670158,96.000000,127.999995
131072.000000,192.000000,153.600004,192.000000
262144.000000,255.999991,219.428568,279.272725
524288.000000,323.368435,255.999991,341.333321
1048576.000000,372.011347,273.066663,361.411758
2097152.000000,378.729597,286.027280,384.000001
4194304.000000,393.215981,297.890900,393.215981
8388608.000000,401.240812,303.261157,399.609739
16777216.000000,404.543206,306.242991,403.725472
33554432.000000,406.634941,307.440197,405.377322
67108864.000000,407.055892,308.162996,406.424817
134217728.000000,408.323988,308.586232,407.161265
